nazivSektora,budzet
EPARHIJA TIMOČKA – CRKVENA OPŠTINA ZAJEČAR,75.800.000
NACIONALNA ORGANIZACIJA OSOBA SA INVALIDITETOM SRBIJE,79.146.375
VATROGASNI SAVEZ SRBIJE,79.250.000
SAVEZ UDRUŽENJA ZA POMOĆ MENTALNO NEDOVOLJNO RAZVIJENIM OSOBAMA SRBIJE,81.899.560
FONDACIJA EXIT,164.300.000
