nazivSektora,budzet
ZONA PLUS,84.310.000
VTV DOO SUBOTICA,93.399.000
RTV BELLE AMIE NIŠ,99.799.000
NOVOSADSKA TV,133.075.000
RTV NOVI PAZAR,196.670.000
