nazivSektora,budzet
UDRUŽENJE,12.896.253.868.38
DOO,5.589.546.213.57
USTANOVA,1.288.779.683.48
OSTALO,1.168.075.261.92
PREDUZETNIK,936.539.183.31
FONDACIJA,341.721.242.42
FIZIČKO LICE,31.192.593.85
ZADUŽBINA,12.830.846.94
