nazivSektora,budzet
OTVORENI UNIVERZITET SUBOTICA DOO,38.650.000
FONDACIJA EXIT,43.874.000
JAPI COM DOO ZA PROIZVODNJU / TRGOVINU I USLUGE NOVI SAD,47.999.989
ARHEOLOŠKI INSTITUT BEOGRAD,50.362.000
MUZIČKA OMLADINA NOVOG SADA,61.010.000
