nazivSektora,budzet
UDRUŽENJE GRAĐANA ŠANSA,28.987.578
UDRUŽENJE RESURS CENTAR ZA ODRŽIVI RAZVOJ,29.544.000
UDRUŽENJE GRAĐANA SOCIETAS,29.670.000
MLADI ISTRAŽIVAČI SRBIJE,65.999.251
OMLADINSKI SAVEZ UDRUŽENJA OPENS,255.208.000
